စဉ်,ကျေးရွာအုပ်စု,လူဦးရေ (စုစုပေါင်း),ကျား,မ
1,အလယ်ချောင်း,2304,1088,1216
2,အောက်ဆယ်,4546,2250,2296
3,အရွဲ,2136,1056,1080
4,ဗျောသလန်း,2305,1183,1122
5,ချောင်းကြီး,4353,2154,2199
6,ဂုံမင်းဆိပ်,2601,1193,1408
7,ဂန်ချောင်း,3394,1668,1726
8,ငှက်ပျောကျွန်း,6905,3387,3518
9,အင်းမ,2547,1268,1279
10,ကတုက္ကမ,1946,1002,944
11,ကွမ်းသီးပင်,3619,1718,1901
12,ကျောင်းစု,3449,1751,1698
13,ကုက္ကိုဝ,4375,2170,2205
14,ကျွန်းဦး,4102,2073,2029
15,ကညင်ကောက်ကြီး,9765,4837,4928
16,ကျုံတမာ,4655,2360,2295
17,ကျုံရစ်,2809,1340,1469
18,ကျိန်ချောင်း,3753,1801,1952
19,မဲဇလီဒလ,7658,3832,3826
20,မဲဇလီရွာဟောင်း,4230,2102,2128
21,မိုးဟုတ်,2970,1447,1523
22,မြမ္မာပြာသာ,6994,3451,3543
23,ညောင်ဝိုင်း,3155,1557,1598
24,ညောင်,2886,1394,1492
25,နတ်ပေး,6751,3189,3562
26,ဘုရားကုန်း,3782,1885,1897
27,ပေစိကျွန်း,3326,1560,1766
28,ဆင်တုံး,8837,4319,4518
29,ဆားမလောက်,9762,4896,4866
30,စွန်တနီး,7436,3643,3793
31,စက္ကော့ရေလယ်ကျွန်း,3954,1889,2065
32,စက္ကော့တောင်,3032,1481,1551
33,သံကြိုး,3894,1823,2071
34,သပြေချောင်း,4188,2036,2152
35,တဇင်ရေကျော်,8192,4299,3893
36,တူးချောင်း,2962,1468,1494
37,ထိပ်ဝကြီး,3892,1919,1973
38,ဝဲဒေါင့်-အတွင်း,3117,1551,1566
39,ဝါးတောစွန်း,5364,2568,2796
40,ရန်ကင်းစံရာ,3284,1568,1716
41,ရွာသစ်,3188,1525,1663
42,ဇီးဖြူကျွန်း,2883,1492,1391
43,သပြုရေလယ်ကျွန်း,2102,1023,1079
44,ပါလှဲ့ (အထက်),4048,1931,2117
