စဉ်,ကျေးရွာအုပ်စု,လူဦးရေ (စုစုပေါင်း),ကျား,မ,latitude,longitude
1,အလယ်ချောင်း,2304,1088,1216,20.8103297,92.6234520
2,အောက်ဆယ်,4546,2250,2296,,
3,အရွဲ,2136,1056,1080,16.9435756,95.8376999
4,ဗျောသလန်း,2305,1183,1122,17.0889228,95.8008948
5,ချောင်းကြီး,4353,2154,2199,15.8890272,94.7759924
6,ဂုံမင်းဆိပ်,2601,1193,1408,17.0540094,95.7064188
7,ဂန်ချောင်း,3394,1668,1726,16.9082953,95.6151233
8,ငှက်ပျောကျွန်း,6905,3387,3518,16.8822846,95.7920938
9,အင်းမ,2547,1268,1279,16.7321344,95.6291247
10,ကတုက္ကမ,1946,1002,944,17.1873499,95.7639087
11,ကွမ်းသီးပင်,3619,1718,1901,21.1572700,92.2097400
12,ကျောင်းစု,3449,1751,1698,16.3615539,94.9462733
13,ကုက္ကိုဝ,4375,2170,2205,16.9972597,95.8662107
14,ကျွန်းဦး,4102,2073,2029,19.7240200,96.2771988
15,ကညင်ကောက်ကြီး,9765,4837,4928,,
16,ကျုံတမာ,4655,2360,2295,16.9829142,95.5996118
17,ကျုံရစ်,2809,1340,1469,16.9333906,95.5909101
18,ကျိန်ချောင်း,3753,1801,1952,16.1377075,95.4411372
19,မဲဇလီဒလ,7658,3832,3826,16.9468369,95.7987894
20,မဲဇလီရွာဟောင်း,4230,2102,2128,16.9534661,95.7945769
21,မိုးဟုတ်,2970,1447,1523,55.7596797,37.6123951
22,မြမ္မာပြာသာ,6994,3451,3543,,
23,ညောင်ဝိုင်း,3155,1557,1598,17.5221376,94.9485034
24,ညောင်,2886,1394,1492,16.8844358,95.7924630
25,နတ်ပေး,6751,3189,3562,17.0029937,95.6216247
26,ဘုရားကုန်း,3782,1885,1897,19.8240081,96.0570385
27,ပေစိကျွန်း,3326,1560,1766,,
28,ဆင်တုံး,8837,4319,4518,16.9535167,95.1932282
29,ဆားမလောက်,9762,4896,4866,16.7379768,94.9364862
30,စွန်တနီး,7436,3643,3793,17.2860444,95.3192003
31,စက္ကော့ရေလယ်ကျွန်း,3954,1889,2065,,
32,စက္ကော့တောင်,3032,1481,1551,,
33,သံကြိုး,3894,1823,2071,17.1857815,95.6406906
34,သပြေချောင်း,4188,2036,2152,15.9603699,94.7078943
35,တဇင်ရေကျော်,8192,4299,3893,,
36,တူးချောင်း,2962,1468,1494,16.7865076,95.5372751
37,ထိပ်ဝကြီး,3892,1919,1973,17.0019752,95.5772829
38,ဝဲဒေါင့်-အတွင်း,3117,1551,1566,,
39,ဝါးတောစွန်း,5364,2568,2796,,
40,ရန်ကင်းစံရာ,3284,1568,1716,17.0588283,95.6360269
41,ရွာသစ်,3188,1525,1663,19.1662348,97.4992739
42,ဇီးဖြူကျွန်း,2883,1492,1391,16.9744019,95.7383525
43,သပြုရေလယ်ကျွန်း,2102,1023,1079,,
44,ပါလှဲ့ (အထက်),4048,1931,2117,17.0523532,95.7178667
